Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Advisortodo Testsuite,Chrome 79.0.3945.79,,,2019-12-16 15:10:48,2019-12-16 15:16:09,5m - 21.032s,PASSED
,,,,,,,
Test Cases/Login,Chrome 79.0.3945.79,,,2019-12-16 15:10:48,2019-12-16 15:11:11,22.706s,PASSED
"openBrowser("""")",Chrome 79.0.3945.79,,,2019-12-16 15:10:49,2019-12-16 15:11:02,13.343s,PASSED
"navigateToUrl(""https://app.gntkwhqzn-test.advisortodo.com/#/auth/signin"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:02,2019-12-16 15:11:06,3.900s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Sign In_form-control""), ""admin@advisortodo.com"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:06,2019-12-16 15:11:07,0.951s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_advisor to-do/input_Sign In_form-control_1""), ""7Dxoto1EjKeORhrTDROfog=="")",Chrome 79.0.3945.79,,,2019-12-16 15:11:07,2019-12-16 15:11:08,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/button_Sign In""))",Chrome 79.0.3945.79,,,2019-12-16 15:11:08,2019-12-16 15:11:08,0.665s,PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-16 15:11:08,2019-12-16 15:11:09,0.123s,PASSED
Video,Chrome 79.0.3945.79,,,2019-12-16 15:11:11,2019-12-16 15:11:11,0.001s,PASSED
,,,,,,,
Test Cases/Sign Up,Chrome 79.0.3945.79,,,2019-12-16 15:11:11,2019-12-16 15:11:33,22.570s,PASSED
"openBrowser("""")",Chrome 79.0.3945.79,,,2019-12-16 15:11:11,2019-12-16 15:11:23,11.685s,PASSED
"navigateToUrl(""https://app.gntkwhqzn-test.advisortodo.com/#/auth/signup"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:23,2019-12-16 15:11:27,4.314s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Signing up is easy It only takes a fe_e93503""), ""Nishit"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:27,2019-12-16 15:11:28,0.677s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Signing up is easy It only takes a fe_4992b8""), ""Sheth"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:28,2019-12-16 15:11:28,0.530s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Signing up is easy It only takes a fe_6bb433""), ""Katalon"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:28,2019-12-16 15:11:29,0.592s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Signing up is easy It only takes a fe_336808""), ""nishit7531@katalon.com"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:29,2019-12-16 15:11:30,0.832s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_advisor to-do/input_Signing up is easy It only takes a fe_1ac70e""), ""NP9hgsAAjFyq3K+3yMdUSg=="")",Chrome 79.0.3945.79,,,2019-12-16 15:11:30,2019-12-16 15:11:30,0.702s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/button_Sign Up""))",Chrome 79.0.3945.79,,,2019-12-16 15:11:30,2019-12-16 15:11:31,0.560s,PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-16 15:11:31,2019-12-16 15:11:31,0.274s,PASSED
Video,Chrome 79.0.3945.79,,,2019-12-16 15:11:33,2019-12-16 15:11:33,0.001s,PASSED
,,,,,,,
Test Cases/Forgot Password,Chrome 79.0.3945.79,,,2019-12-16 15:11:33,2019-12-16 15:12:39,1m - 6.117s,PASSED
"openBrowser("""")",Chrome 79.0.3945.79,,,2019-12-16 15:11:33,2019-12-16 15:11:44,11.039s,PASSED
"navigateToUrl(""https://app.gntkwhqzn-test.advisortodo.com/#/auth/Signin"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:44,2019-12-16 15:11:48,3.943s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/a_Forgot Password""))",Chrome 79.0.3945.79,,,2019-12-16 15:11:48,2019-12-16 15:11:49,0.595s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Send Email_form-control""), ""admin@advisortodo.com"")",Chrome 79.0.3945.79,,,2019-12-16 15:11:49,2019-12-16 15:12:37,47.715s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/button_Send Email""))",Chrome 79.0.3945.79,,,2019-12-16 15:12:37,2019-12-16 15:12:37,0.449s,PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-16 15:12:37,2019-12-16 15:12:37,0.097s,PASSED
Video,Chrome 79.0.3945.79,,,2019-12-16 15:12:39,2019-12-16 15:12:39,0.001s,PASSED
,,,,,,,
Test Cases/Task,Chrome 79.0.3945.79,,,2019-12-16 15:12:39,2019-12-16 15:14:21,1m - 42.148s,PASSED
"openBrowser("""")",Chrome 79.0.3945.79,,,2019-12-16 15:12:40,2019-12-16 15:12:51,11.660s,PASSED
"navigateToUrl(""https://app.gntkwhqzn-test.advisortodo.com/#/auth/Signin"")",Chrome 79.0.3945.79,,,2019-12-16 15:12:51,2019-12-16 15:12:55,3.907s,PASSED
"setText(findTestObject(""Page_advisor to-do/input_Sign In_form-control""), ""admin@advisortodo.com"")",Chrome 79.0.3945.79,,,2019-12-16 15:12:55,2019-12-16 15:12:56,0.780s,PASSED
"setEncryptedText(findTestObject(""Page_advisor to-do/input_Sign In_form-control_1""), ""7Dxoto1EjKeORhrTDROfog=="")",Chrome 79.0.3945.79,,,2019-12-16 15:12:56,2019-12-16 15:12:56,0.568s,PASSED
"click(findTestObject(""Page_advisor to-do/button_Sign In""))",Chrome 79.0.3945.79,,,2019-12-16 15:12:56,2019-12-16 15:12:57,0.558s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/a_Tasks""))",Chrome 79.0.3945.79,,,2019-12-16 15:12:57,2019-12-16 15:13:06,9.308s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/button_Archived Projects_addTask""))",Chrome 79.0.3945.79,,,2019-12-16 15:13:06,2019-12-16 15:13:10,3.671s,PASSED
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_Priority_combobox1""), ""Task2"")",Chrome 79.0.3945.79,,,2019-12-16 15:13:10,2019-12-16 15:13:11,1.043s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_advisor to-do/input_Priority_combobox1""), Keys.chord(ENTER))",Chrome 79.0.3945.79,,,2019-12-16 15:13:11,2019-12-16 15:13:12,0.604s,PASSED
